"C_ID","C_TotalSpend","C_Gender","C_Age","C_State","C_Area","C_Product","C_DeviceType","C_ShoppingDuration","C_TimeOfShopping","App_SatisfactionRating","App_Tenure","App_Referral","App_Promotion"
"CXAUQ_11469",917,"M",41,"NSW","Rural","Equipment","Tablet_Android",28,"6:00 PM - 12:00 AM","L",10,0,"No"
"CXAUQ_10320",856,"F",33,"QLD","Urban","Equipment","Phone_iOS",3,"6:00 AM - 12:00 PM","L",12,0,"No"
"CXAUQ_12797",694,"F",35,"VIC","Urban","Equipment","Phone_iOS",14,"12:00 PM - 6:00 PM","H",9,0,"No"
"CXAUQ_11631",400,"F",22,"NSW","Urban","Apparel","Phone_iOS",22,"6:00 PM - 12:00 AM","L",26,0,"No"
"CXAUQ_12467",1670,"M",33,"NSW","Urban","Equipment","Phone_iOS",16,"12:00 PM - 6:00 PM","L",26,0,"No"
"CXAUQ_12107",984,"F",32,"TAS","Urban","Equipment","Phone_iOS",15,"6:00 AM - 12:00 PM","H",14,0,"No"
"CXAUQ_11448",1162,"M",40,"QLD","Urban","Equipment","Tablet_Android",27,"6:00 PM - 12:00 AM","H",20,0,"Yes"
"CXAUQ_12505",840,"M",35,"WA","Rural","Equipment","Phone_iOS",14,"12:00 PM - 6:00 PM","H",11,9,"Yes"
"CXAUQ_12240",1396,"F",35,"NSW","Urban","Equipment","Phone_iOS",18,"12:00 PM - 6:00 PM","H",13,0,"No"
"CXAUQ_10091",556,"F",22,"QLD","Urban","Equipment","Phone_Android",6,"6:00 PM - 12:00 AM","L",10,3,"No"
"CXAUQ_11700",504,"M",34,"VIC","Urban","Equipment","Phone_iOS",13,"6:00 PM - 12:00 AM","H",28,0,"No"
"CXAUQ_12431",100,"F",23,"VIC","Urban","Apparel","Phone_iOS",23,"6:00 AM - 12:00 PM","H",22,13,"No"
"CXAUQ_12558",1048,"M",34,"ACT","Urban","Equipment","Tablet_Android",21,"12:00 PM - 6:00 PM","H",7,0,"Yes"
"CXAUQ_12673",269,"F",46,"WA","Rural","Equipment","Phone_iOS",33,"12:00 AM - 6:00 AM","L",14,0,"No"
"CXAUQ_10129",701,"M",26,"QLD","Rural","Equipment","Tablet_Android",9,"6:00 AM - 12:00 PM","H",21,0,"No"
"CXAUQ_10312",410,"F",28,"VIC","Urban","Apparel","Phone_iOS",10,"6:00 PM - 12:00 AM","L",8,6,"No"
"CXAUQ_10517",1438,"F",48,"TAS","Urban","Equipment","Phone_Android",3,"6:00 AM - 12:00 PM","L",20,0,"Yes"
"CXAUQ_10855",1022,"M",43,"NSW","Rural","Equipment","Tablet_iOS",5,"6:00 PM - 12:00 AM","L",2,0,"No"
"CXAUQ_10618",1094,"M",32,"VIC","Rural","Equipment","Phone_iOS",4,"12:00 PM - 6:00 PM","H",23,0,"Yes"
"CXAUQ_12783",220,"F",44,"VIC","Urban","Apparel","Tablet_iOS",31,"12:00 AM - 6:00 AM","H",16,15,"No"
"CXAUQ_10709",1376,"F",33,"NSW","Rural","Equipment","Phone_Android",3,"6:00 PM - 12:00 AM","H",21,0,"Yes"
"CXAUQ_11237",332,"M",35,"NSW","Rural","Equipment","Phone_iOS",18,"6:00 PM - 12:00 AM","L",6,0,"No"
"CXAUQ_10440",979,"M",40,"NSW","Urban","Equipment","Tablet_Android",6,"12:00 PM - 6:00 PM","L",9,6,"No"
