"C_ID","C_TotalSpend","C_Gender","C_Age","C_State","C_Area","C_Product","C_DeviceType","C_ShoppingDuration","C_TimeOfShopping","App_SatisfactionRating","App_Tenure","App_Referral","App_Promotion"
"CXAUQ_12287",1460,"M",43,"NSW","Urban","Equipment","Phone_Android",30,"12:00 PM - 6:00 PM","H",27,10,"No"
"CXAUQ_12666",184,"F",34,"VIC","Urban","Apparel","Phone_iOS",13,"12:00 AM - 6:00 AM","H",5,0,"No"
"CXAUQ_10222",512,"M",24,"QLD","Urban","Equipment","Phone_Android",14,"6:00 AM - 12:00 PM","L",7,0,"No"
"CXAUQ_10692",640,"F",34,"WA","Urban","Equipment","Phone_Android",7,"6:00 PM - 12:00 AM","H",21,0,"No"
"CXAUQ_12600",1504,"F",42,"NSW","Urban","Equipment","Tablet_Android",29,"12:00 PM - 6:00 PM","H",30,0,"No"
"CXAUQ_11138",638,"F",34,"NSW","Rural","Equipment","Phone_iOS",13,"6:00 PM - 12:00 AM","H",27,0,"No"
"CXAUQ_12790",268,"F",47,"QLD","Rural","Equipment","Phone_Android",34,"12:00 AM - 6:00 AM","L",22,0,"Yes"
"CXAUQ_11676",163,"M",47,"WA","Urban","Equipment","Tablet_Android",34,"6:00 PM - 12:00 AM","H",11,0,"Yes"
"CXAUQ_10114",893,"M",39,"QLD","Rural","Equipment","Tablet_Android",17,"6:00 AM - 12:00 PM","H",25,0,"No"
"CXAUQ_10330",246,"F",24,"QLD","Urban","Apparel","Phone_iOS",11,"6:00 AM - 12:00 PM","H",26,0,"No"
"CXAUQ_10553",552,"M",22,"WA","Urban","Equipment","Tablet_iOS",9,"6:00 AM - 12:00 PM","H",23,0,"No"
"CXAUQ_11941",100,"M",33,"VIC","Urban","Footwear","Tablet_Android",17,"6:00 AM - 12:00 PM","H",19,7,"No"
"CXAUQ_11001",100,"F",35,"WA","Urban","Apparel","Tablet_iOS",5,"6:00 AM - 12:00 PM","L",4,0,"No"
"CXAUQ_11880",915,"M",38,"SA","Rural","Equipment","Tablet_Android",25,"6:00 PM - 12:00 AM","H",23,0,"Yes"
"CXAUQ_10138",300,"M",20,"QLD","Urban","Apparel","Phone_Android",4,"6:00 AM - 12:00 PM","L",18,0,"No"
"CXAUQ_10337",564,"M",24,"VIC","Rural","Equipment","Phone_iOS",7,"6:00 PM - 12:00 AM","L",20,0,"No"
"CXAUQ_12712",1407,"M",41,"VIC","Rural","Equipment","Tablet_Android",14,"12:00 AM - 6:00 AM","H",14,4,"Yes"
"CXAUQ_10090",570,"F",33,"QLD","Urban","Equipment","Phone_iOS",5,"6:00 PM - 12:00 AM","L",4,0,"No"
"CXAUQ_11714",110,"M",31,"WA","Urban","Apparel","Phone_iOS",8,"6:00 AM - 12:00 PM","L",11,0,"No"
"CXAUQ_11914",1280,"F",35,"SA","Urban","Equipment","Phone_Android",18,"6:00 PM - 12:00 AM","H",14,14,"Yes"
"CXAUQ_12386",160,"F",48,"SA","Urban","Equipment","Tablet_iOS",35,"12:00 PM - 6:00 PM","L",20,0,"No"
"CXAUQ_11659",1112,"F",36,"VIC","Urban","Equipment","Tablet_Android",23,"6:00 PM - 12:00 AM","H",21,0,"Yes"
"CXAUQ_11920",2130,"M",35,"TAS","Urban","Equipment","Phone_iOS",18,"6:00 PM - 12:00 AM","L",25,2,"No"
"CXAUQ_11808",546,"F",33,"SA","Urban","Equipment","Tablet_iOS",8,"6:00 PM - 12:00 AM","L",14,0,"No"
"CXAUQ_12269",1007,"F",32,"NSW","Urban","Equipment","Phone_iOS",19,"12:00 PM - 6:00 PM","L",18,0,"No"
"CXAUQ_12767",872,"M",35,"NSW","Urban","Equipment","Tablet_iOS",12,"12:00 AM - 6:00 AM","H",2,0,"No"
"CXAUQ_12679",605,"F",28,"VIC","Urban","Equipment","Phone_iOS",3,"12:00 AM - 6:00 AM","H",8,9,"No"
"CXAUQ_11535",1302,"F",33,"QLD","Urban","Equipment","Tablet_Android",16,"6:00 AM - 12:00 PM","H",2,0,"No"
"CXAUQ_11454",1156,"F",47,"NSW","Urban","Equipment","Tablet_iOS",34,"6:00 AM - 12:00 PM","L",30,0,"No"
"CXAUQ_11731",150,"M",47,"SA","Urban","Equipment","Phone_Android",34,"6:00 PM - 12:00 AM","L",12,0,"Yes"
"CXAUQ_11100",372,"M",31,"NSW","Rural","Footwear","Phone_iOS",6,"6:00 AM - 12:00 PM","H",17,13,"Yes"
"CXAUQ_12499",157,"F",45,"TAS","Urban","Equipment","Tablet_Android",32,"12:00 PM - 6:00 PM","H",30,0,"Yes"
"CXAUQ_11913",672,"M",34,"QLD","Urban","Equipment","Tablet_Android",9,"6:00 PM - 12:00 AM","H",5,0,"Yes"
"CXAUQ_11855",1104,"F",32,"NSW","Urban","Equipment","Tablet_iOS",15,"6:00 PM - 12:00 AM","H",27,0,"No"
"CXAUQ_10115",100,"F",21,"TAS","Urban","Apparel","Tablet_iOS",20,"6:00 PM - 12:00 AM","L",9,0,"No"
"CXAUQ_11481",108,"M",31,"QLD","Rural","Footwear","Phone_Android",18,"6:00 AM - 12:00 PM","H",16,0,"Yes"
"CXAUQ_12182",124,"F",48,"NSW","Rural","Equipment","Phone_Android",35,"12:00 PM - 6:00 PM","H",24,0,"No"
"CXAUQ_11337",100,"M",24,"NSW","Rural","Footwear","Tablet_iOS",13,"6:00 PM - 12:00 AM","H",4,0,"No"
"CXAUQ_12140",1714,"M",40,"NSW","Urban","Equipment","Tablet_Android",27,"6:00 AM - 12:00 PM","H",24,0,"No"
