"C_ID","C_TotalSpend","C_Gender","C_Age","C_State","C_Area","C_Product","C_DeviceType","C_ShoppingDuration","C_TimeOfShopping","App_SatisfactionRating","App_Tenure","App_Referral","App_Promotion"
"CXAUQ_10509",1221,"F",40,"ACT","Urban","Equipment","Tablet_Android",10,"6:00 AM - 12:00 PM","H",28,14,"Yes"
"CXAUQ_12770",1384,"F",35,"SA","Urban","Equipment","Tablet_Android",22,"12:00 AM - 6:00 AM","H",4,0,"Yes"
"CXAUQ_10025",1238,"F",54,"WA","Urban","Equipment","Phone_Android",25,"6:00 AM - 12:00 PM","L",14,0,"Yes"
"CXAUQ_10976",177,"M",36,"NSW","Rural","Footwear","Tablet_Android",22,"6:00 PM - 12:00 AM","H",4,4,"Yes"
"CXAUQ_12567",1853,"M",41,"NSW","Urban","Equipment","Tablet_Android",28,"12:00 PM - 6:00 PM","H",17,0,"No"
"CXAUQ_12685",1000,"M",40,"ACT","Rural","Equipment","Tablet_Android",10,"12:00 AM - 6:00 AM","L",29,0,"Yes"
"CXAUQ_11721",340,"M",35,"NSW","Rural","Apparel","Phone_iOS",18,"6:00 PM - 12:00 AM","H",9,12,"No"
"CXAUQ_11329",328,"F",21,"NT","Urban","Equipment","Tablet_iOS",21,"6:00 PM - 12:00 AM","H",15,9,"No"
"CXAUQ_12072",207,"F",45,"ACT","Rural","Equipment","Phone_Android",32,"12:00 PM - 6:00 PM","H",2,0,"No"
"CXAUQ_10698",242,"M",29,"SA","Urban","Equipment","Phone_Android",3,"6:00 PM - 12:00 AM","L",7,0,"No"
"CXAUQ_12351",286,"M",25,"WA","Rural","Apparel","Phone_iOS",3,"12:00 PM - 6:00 PM","H",27,0,"Yes"
"CXAUQ_11137",1366,"F",34,"ACT","Urban","Equipment","Tablet_Android",21,"6:00 PM - 12:00 AM","L",19,0,"No"
"CXAUQ_11358",100,"M",24,"NSW","Urban","Footwear","Tablet_iOS",18,"6:00 PM - 12:00 AM","H",20,8,"No"
"CXAUQ_12066",785,"M",42,"ACT","Rural","Equipment","Tablet_Android",29,"6:00 PM - 12:00 AM","H",18,0,"No"
"CXAUQ_11141",536,"F",28,"VIC","Urban","Equipment","Phone_iOS",3,"6:00 PM - 12:00 AM","L",11,0,"No"
"CXAUQ_11568",100,"M",35,"WA","Urban","Apparel","Tablet_iOS",18,"6:00 AM - 12:00 PM","L",29,0,"No"
"CXAUQ_11932",100,"F",23,"NSW","Urban","Footwear","Tablet_iOS",16,"6:00 AM - 12:00 PM","L",2,0,"No"
