"C_ID","C_TotalSpend","C_Gender","C_Age","C_State","C_Area","C_Product","C_DeviceType","C_ShoppingDuration","C_TimeOfShopping","App_SatisfactionRating","App_Tenure","App_Referral","App_Promotion"
"CXAUQ_12284",1200,"F",37,"SA","Urban","Equipment","Tablet_Android",24,"12:00 PM - 6:00 PM","H",14,0,"Yes"
"CXAUQ_11267",106,"F",32,"QLD","Urban","Footwear","Tablet_iOS",12,"6:00 PM - 12:00 AM","L",16,0,"No"
"CXAUQ_12739",100,"F",32,"NT","Urban","Apparel","Phone_iOS",15,"12:00 AM - 6:00 AM","L",8,0,"No"
"CXAUQ_10587",272,"M",35,"WA","Urban","Apparel","Phone_iOS",10,"6:00 AM - 12:00 PM","H",29,0,"No"
"CXAUQ_10822",578,"M",35,"VIC","Urban","Equipment","Tablet_Android",4,"6:00 PM - 12:00 AM","H",4,0,"No"
"CXAUQ_12223",1406,"F",37,"VIC","Urban","Equipment","Tablet_Android",24,"12:00 PM - 6:00 PM","L",17,0,"Yes"
"CXAUQ_11774",100,"M",34,"NSW","Urban","Apparel","Phone_iOS",12,"6:00 AM - 12:00 PM","H",19,0,"No"
"CXAUQ_10334",894,"M",36,"NT","Urban","Equipment","Tablet_Android",13,"6:00 AM - 12:00 PM","H",23,13,"No"
"CXAUQ_10793",312,"M",32,"QLD","Urban","Apparel","Phone_iOS",22,"6:00 PM - 12:00 AM","L",21,0,"No"
"CXAUQ_11430",1016,"M",35,"VIC","Urban","Equipment","Phone_Android",10,"6:00 PM - 12:00 AM","L",28,0,"Yes"
"CXAUQ_12664",596,"F",34,"VIC","Urban","Equipment","Phone_iOS",13,"12:00 PM - 6:00 PM","L",4,0,"No"
"CXAUQ_11396",1042,"M",30,"NSW","Rural","Equipment","Tablet_Android",5,"6:00 PM - 12:00 AM","L",24,0,"No"
"CXAUQ_10338",600,"M",24,"ACT","Rural","Equipment","Phone_iOS",6,"6:00 PM - 12:00 AM","L",9,0,"No"
"CXAUQ_10312",410,"F",28,"VIC","Urban","Apparel","Phone_iOS",10,"6:00 PM - 12:00 AM","L",8,6,"No"
"CXAUQ_10523",131,"M",40,"NSW","Rural","Apparel","Tablet_iOS",4,"6:00 AM - 12:00 PM","H",24,0,"No"
"CXAUQ_11926",550,"M",28,"NSW","Urban","Equipment","Tablet_iOS",3,"6:00 PM - 12:00 AM","L",9,0,"No"
