"C_ID","C_TotalSpend","C_Gender","C_Age","C_State","C_Area","C_Product","C_DeviceType","C_ShoppingDuration","C_TimeOfShopping","App_SatisfactionRating","App_Tenure","App_Referral","App_Promotion"
"CXAUQ_12679",605,"F",28,"VIC","Urban","Equipment","Phone_iOS",3,"12:00 AM - 6:00 AM","H",8,9,"No"
"CXAUQ_11317",1561,"M",47,"SA","Urban","Equipment","Phone_Android",34,"6:00 AM - 12:00 PM","H",25,13,"No"
"CXAUQ_11362",100,"F",34,"NSW","Rural","Footwear","Phone_iOS",15,"6:00 PM - 12:00 AM","H",21,6,"No"
"CXAUQ_12597",111,"F",45,"TAS","Rural","Equipment","Tablet_Android",32,"12:00 PM - 6:00 PM","H",24,0,"Yes"
"CXAUQ_10952",318,"F",18,"TAS","Rural","Footwear","Phone_iOS",7,"6:00 AM - 12:00 PM","H",3,0,"No"
"CXAUQ_12291",586,"F",25,"NSW","Rural","Equipment","Phone_iOS",3,"12:00 PM - 6:00 PM","L",25,0,"No"
"CXAUQ_11094",1183,"M",38,"ACT","Rural","Equipment","Tablet_Android",25,"6:00 PM - 12:00 AM","H",8,0,"No"
"CXAUQ_10521",945,"F",36,"QLD","Urban","Equipment","Phone_Android",33,"6:00 AM - 12:00 PM","L",10,9,"No"
"CXAUQ_10351",1022,"M",47,"VIC","Rural","Equipment","Tablet_Android",12,"6:00 PM - 12:00 AM","H",23,0,"Yes"
"CXAUQ_10425",446,"M",26,"NT","Rural","Apparel","Phone_iOS",18,"6:00 AM - 12:00 PM","H",26,0,"No"
"CXAUQ_10860",345,"M",24,"NSW","Rural","Apparel","Phone_Android",3,"6:00 PM - 12:00 AM","L",25,0,"No"
"CXAUQ_10811",1251,"F",37,"NSW","Rural","Equipment","Tablet_Android",3,"6:00 PM - 12:00 AM","H",28,0,"Yes"
"CXAUQ_11486",1527,"M",34,"VIC","Urban","Equipment","Tablet_Android",21,"6:00 AM - 12:00 PM","H",17,10,"Yes"
"CXAUQ_11480",1763,"M",46,"TAS","Urban","Equipment","Tablet_Android",33,"6:00 AM - 12:00 PM","H",19,0,"Yes"
"CXAUQ_11748",816,"M",34,"QLD","Urban","Equipment","Phone_iOS",9,"6:00 PM - 12:00 AM","L",9,0,"Yes"
